时间,来源数据库,状态,说明
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,未及时得到交易所确认的纪录监控
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,帐户出现交易后可能透支的风险监控
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,特殊业务发生监控，及时提醒对当日这些业务的最终确认状态进行确认
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,大宗交易委托情况提醒，委托后5-10分钟未成交，或者临收盘5-10分钟还未成交等等
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,白天相同类型错误回报过多异常提醒（可能隐含系统有问题）
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,交易所回报信息检查，对一些可能是发送给交易所的数据有问题的交易所回报进行提醒（可能隐含系统有问题）
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,投票数量超过一定阀值进行提示
[2017-03-03 15:19:32],ttra01@10.26.3.45,正常,当日股票未出现买卖，相关买入卖出金额和数量出现变化
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,未及时得到交易所确认的纪录监控
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,帐户出现交易后可能透支的风险监控
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,特殊业务发生监控，及时提醒对当日这些业务的最终确认状态进行确认
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,大宗交易委托情况提醒，委托后5-10分钟未成交，或者临收盘5-10分钟还未成交等等
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,白天相同类型错误回报过多异常提醒（可能隐含系统有问题）
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,交易所回报信息检查，对一些可能是发送给交易所的数据有问题的交易所回报进行提醒（可能隐含系统有问题）
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,投票数量超过一定阀值进行提示
[2017-03-03 15:19:42],ttra01@10.26.3.45,正常,当日股票未出现买卖，相关买入卖出金额和数量出现变化
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,未及时得到交易所确认的纪录监控
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,帐户出现交易后可能透支的风险监控
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,特殊业务发生监控，及时提醒对当日这些业务的最终确认状态进行确认
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,大宗交易委托情况提醒，委托后5-10分钟未成交，或者临收盘5-10分钟还未成交等等
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,白天相同类型错误回报过多异常提醒（可能隐含系统有问题）
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,交易所回报信息检查，对一些可能是发送给交易所的数据有问题的交易所回报进行提醒（可能隐含系统有问题）
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,投票数量超过一定阀值进行提示
[2017-03-03 15:19:52],ttra01@10.26.3.45,正常,当日股票未出现买卖，相关买入卖出金额和数量出现变化
[2017-03-03 15:20:02],none,警告,非交易时间
[2017-03-03 15:20:12],none,警告,非交易时间
[2017-03-03 15:20:22],none,警告,非交易时间
[2017-03-03 15:20:32],ttra01@10.26.3.45,正常,清算后持仓成本变化、盈亏变化是否正确
[2017-03-03 15:20:33],ttra01@10.26.3.45,未知错误,清算后资金冻结解冻数据检查
[2017-03-03 15:20:33],ttra01@10.26.3.45,未知错误,清算后资金可用数据检查
[2017-03-03 15:20:33],ttra01@10.26.3.45,正常,清算后股份冻结数据检查
[2017-03-03 15:20:42],none,警告,非交易时间
[2017-03-03 15:20:52],none,警告,非交易时间
